"proposed_tab","country_or_region","lead_name","category","email","phone","website_or_domain","source_screenshot","verification_source","confidence","notes"
"Agencies","UAE / Dubai","Ontime Manpower Supply","Manpower / staffing agency","careers@ontimeuae.ae","","ontimeuae.ae","IMG_8701.HEIC","https://ontimeuae.com/career/ ; https://ontimeuae.com/on-demand-labour-solutions/","High","Move to Dubai/UAE agency queue."
"Agencies","UAE / GCC","ParamInfo","IT staffing / services recruiter","rekha.y@paraminfo.com","","paraminfo.com","IMG_8701.HEIC","https://paraminfo.com/careers/","High","ParamInfo careers page lists Dubai, Abu Dhabi, Saudi, Bahrain, and India; route as UAE/GCC agency contact."
"Agencies","UAE / GCC","Latinum HR","HR / recruitment","jobs@latinumhr.com","","latinumhr.com","IMG_8701.HEIC","https://latinumhr.com/en/","Medium","HR domain; verify exact country before outreach."
"Agencies","India / UAE remote","iKonsult Recruitment Solutions","Recruitment agency","hiring@ikonsult.in","","ikonsult.in","IMG_8701.HEIC","https://in.linkedin.com/company/ikonsultrecruitment","High","LinkedIn post mentions remote India/UAE roles."
"Direct Employers","UAE / Dubai","Sole DXB","Creative / culture platform","jobs@soledxb.com","","soledxb.com","IMG_9184.HEIC","https://www.linkedin.com/company/soledxb1 ; https://soledxb.com/","High","Move to Dubai direct employers."
"Direct Employers","UAE / Dubai","HTP Global Technologies","Technology company","hr@myhtptech.com","","myhtptech.com","IMG_8701.HEIC","https://www.crunchbase.com/organization/htp-global-technologies","Medium","Crunchbase result places HTP Global Technologies in Dubai; verify official careers page before outreach."
"Direct Employers","UAE / Global","Excellent Webworld","Software / app development company","murad@excellentwebworld.com","","excellentwebworld.com","IMG_8701.HEIC","https://www.excellentwebworld.com/contact-us/","High","Official site lists UAE office plus global locations."
"Direct Employers","UAE / GCC / MENA","2gether","Company career-link lead","","","2gether.global/careers","IMG_8705.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","ADNOC Digital","Company career-link lead","","","adnoc.ae/careers","IMG_8705.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Medium","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Almosafer","Company career-link lead","","","almosafer.com/careers","IMG_8704.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Beehive","Company career-link lead","","","beehive.ae/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Medium","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Crafty","Company career-link lead","","","craftydelivers.com/careers","IMG_8702.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Dubizzle","Company career-link lead","","","dubizzle.com/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Medium","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Fetchr","Company career-link lead","","","fetchr.us/careers","IMG_8702.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Flyin","Company career-link lead","","","flyin.com/careers","IMG_8704.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Foodics","Company career-link lead","","","foodics.com/careers","IMG_8702.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
