Company / Lead,Email(s),Type,Status,Date Sent,Subject,Gmail Message ID,Tracker Match,Recommended Action,Source / Owner,Notes
Crevia Media,wadood@creviamedia.com,Direct Employer / Networking,Sent by Mohd,2026-06-04,Hayaat here,19e93316e4ed50e0,Present in Gmail observations / verify tracker row,Keep as user-sent lead; decide if follow-up is needed,Mohd sent manually,Latest sent job/networking-related email found in Gmail audit
Innovation UAE,jobs@innovationsglobal.com,Agency,Sent by Mohd,2026-06-03,Product Designer - IT staffing banking and operations workflows,19e8e239729c5bb6,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,Tracker has Innovation UAE applied via jobs@innovationsglobal.com
Horizon Group,horizongroup@horizon.ae,Agency,Sent by Mohd,2026-06-03,Product Designer - manpower operations and workflow dashboards,19e8e1f5148e7dda,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,Reply also exists from Horizon
Hays,clientmiddleeast@hays.com,Agency,Sent by Mohd,2026-06-03,Product Designer - technology digital and operations workflows,19e8e08a2c672b47,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,
Experts Recruitment,gaile@expertsrecruitment.com,Agency,Sent by Mohd,2026-06-03,Product Designer - B2B operations dashboards and digital product work,19e8e08855ab62ee,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,
Executive Solutions ME,info@executivesolutionsme.com,Agency,Sent by Mohd,2026-06-03,Product Designer - digital workflows and enterprise operations,19e8e0863577fe43,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,
Emirates Net,"mansoor@emirates.net.ae; hrd@emiratesnet.com; marketing@emiratesnet.com",Agency,Sent by Mohd,2026-06-03,Product Designer - systems dashboards and operations,19e8e0553783843e,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,
Amwal,info@amwal.tech,Direct Employer / Fintech,Sent by Mohd,2026-06-03,Re: Senior Product Designer - fintech and payments UX,19e8defa3633a616,Tracker has related Amwal rows but needs status verification,Mark/confirm as applied if not already reflected in live sheet,Mohd sent manually,Correction email with PDF followed earlier markdown attachment
Derby Group,"info@derbygroup.ae; tarun@derbygroup.ae; francis@derbygroup.ae",Agency,Sent by Mohd,2026-06-02,Product Designer - outsourcing CX and service operations,19e89e85944d0089,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,
CIG,"hr@cig.ae; info@cig.ae; ibrahim.bangi@cig.ae",Agency,Sent by Mohd,2026-06-02,Product Designer - CX tools and digital operations,19e89e3fb8f18058,Present in tracker as Needs Review,Review why status is Needs Review and whether follow-up is appropriate,Mohd sent manually,
