proposed_tab,country_or_region,lead_name,category,email,phone,website_or_domain,source_screenshot,verification_source,confidence,notes
Direct Employers,Canada,Pfaff Motorsports,Direct employer / motorsports,jobs@pfaffmotorsports.com,,pfaffmotorsports.com,IMG_7207.HEIC,https://www.pfaffmotorsports.com/team ; https://ca.linkedin.com/company/pfaff-motorsports,High,Canadian motorsports employer; not UAE.
Agencies,China / Global,Transsion recruiter,Recruiter contact,kai.mao@transsion.com,,transsion.com,IMG_8480.HEIC,https://www.transsion.com/en/about,Medium,"Official site places Transsion in Shenzhen, China; global emerging markets."
Direct Employers,Egypt,Brandfy Agency,Creative / digital marketing agency,info@brandfy.net,,brandfy.net,IMG_6882.HEIC,https://brandfy.net/contact-us/ ; https://www.linkedin.com/company/brandfyagency,High,"Website/LinkedIn place Brandfy in Cairo, Egypt. Do not put in Dubai."
Direct Employers,France / Remote,Dozamenart,Creative agency / remote,Dozamenart.hiring@gmail.com,,,IMG_8492.HEIC,OCR: IMG_8492.txt,High,Paris / Remote; Gmail contact but country is explicit in the post.
Direct Employers,Germany,DastN GmbH,Hiring company / Germany list,,,,IMG_9325.HEIC,OCR: IMG_9325.txt,High,Germany-wide hiring-list row; no contact captured.
Direct Employers,Germany,ABOUT YOU,Hiring company / Germany list,,,,IMG_9325.HEIC,OCR: IMG_9325.txt,High,Hamburg hiring-list row; no contact captured.
Direct Employers,Germany,Adidas,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Herzogenaurach hiring-list row; no contact captured.
Direct Employers,Germany,Adjust,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,Atrya,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,Bayer,Hiring company / Germany list,,,,IMG_9325.HEIC,OCR: IMG_9325.txt,High,Leverkusen hiring-list row; no contact captured.
Direct Employers,Germany,Blinkist,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,BMW Group,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Munich hiring-list row; no contact captured.
Direct Employers,Germany,Celonis,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Munich hiring-list row; no contact captured.
Direct Employers,Germany,Choco,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,Contentful,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,DeepL,Hiring company / Germany list,,,,IMG_9325.HEIC,OCR: IMG_9325.txt,High,Cologne hiring-list row; no contact captured.
Direct Employers,Germany,Distribusion,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,exmox,Hiring company / Germany list,,,,IMG_9325.HEIC,OCR: IMG_9325.txt,High,Hamburg hiring-list row; no contact captured.
Direct Employers,Germany,FINN,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Munich hiring-list row; no contact captured.
Direct Employers,Germany,Flix,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Munich hiring-list row; no contact captured.
Direct Employers,Germany,Forto,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,GetYourGuide,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,Helsing,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Munich hiring-list row; no contact captured.
Direct Employers,Germany,Infineon Technologies,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Munich hiring-list row; no contact captured.
Direct Employers,Germany,Kaufland e-commerce,Hiring company / Germany list,,,,IMG_9325.HEIC,OCR: IMG_9325.txt,High,Cologne hiring-list row; no contact captured.
Direct Employers,Germany,Kombo,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,Lilium,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Munich hiring-list row; no contact captured.
Direct Employers,Germany,LILLYDOO,Hiring company / Germany list,,,,IMG_9325.HEIC,OCR: IMG_9325.txt,High,Frankfurt hiring-list row; no contact captured.
Direct Employers,Germany,Lufthansa Systems,Hiring company / Germany list,,,,IMG_9325.HEIC,OCR: IMG_9325.txt,High,Raunheim hiring-list row; no contact captured.
Direct Employers,Germany,Mambo,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,Monika Saleta,Job lead / direct employer,job@monikasaleta.com,,monikasaleta.com,IMG_8951.HEIC,OCR: IMG_8951.txt,High,Remote Europe role; company HQ location is Germany.
Direct Employers,Germany,Omio,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,Personio,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Munich hiring-list row; no contact captured.
Direct Employers,Germany,Raisin,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,SAP,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Walldorf hiring-list row; no contact captured.
Direct Employers,Germany,Siemens,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Munich hiring-list row; no contact captured.
Direct Employers,Germany,Solaris,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,Sonarsource,Hiring company / Germany list,,,,IMG_9325.HEIC,OCR: IMG_9325.txt,High,Bochum hiring-list row; no contact captured.
Direct Employers,Germany,SumUp,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,Taxfix,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Direct Employers,Germany,TRUECHART,Hiring company / Germany list,,,,IMG_9325.HEIC,OCR: IMG_9325.txt,High,Southern Germany hiring-list row; no contact captured.
Direct Employers,Germany,Volkswagen Group,Hiring company / Germany list,,,,IMG_9325.HEIC,OCR: IMG_9325.txt,High,Wolfsburg hiring-list row; no contact captured.
Direct Employers,Germany,Volocopter,Hiring company / Germany list,,,,IMG_9325.HEIC,OCR: IMG_9325.txt,High,Bruchsal hiring-list row; no contact captured.
Direct Employers,Germany,Wolt Germany,Hiring company / Germany list,,,,IMG_9324.HEIC,OCR: IMG_9324.txt,High,Berlin hiring-list row; no contact captured.
Agencies,India,byPeople Technologies,Agency / recruiter,recruitment.bypt@gmail.com,,,IMG_9214.HEIC,OCR: IMG_9214.txt,High,Bangalore UX Designer opening; strong British communication required.
Agencies,India,Orange Corporate Solutions,HR consultancy / recruiter,jobs.orange001@gmail.com,WhatsApp: +91 70820 01810,orangecorporatesolutions.com,IMG_8950.HEIC,https://www.orangecorporatesolutions.com/join-us,Medium,Gmail differs from official site email; verify before outreach.
Agencies,India,Shell Consultancy,Recruitment / consultancy,careers@shellconsultancy.com,,shellconsultancy.com,IMG_8710.HEIC,https://in.linkedin.com/company/shell-consultancy,High,LinkedIn hiring posts mention Gurgaon and India roles.
Direct Employers,India,Artgripper Studio,CGI / brand design studio,hello@artgripper.studio,,artgripper.studio,IMG_7925.HEIC,https://artgripper.studio/,High,Official site shows Indian phone number and India work examples.
Direct Employers,India,Artium Academy,Direct employer / product design,priya@artiumacademy.com; pallav@artiumacademy.com,,artiumacademy.com,IMG_8393.HEIC,OCR: IMG_8393.txt,High,On-site product designer role in Bangalore.
Direct Employers,India,ASAP Media,Creative studio hiring designer / photographer / content creator,contact@asapmedia.co.in,,asapmedia.co.in,IMG_8495.HEIC,https://asapmedia.co.in/ ; https://in.linkedin.com/company/asap_media,High,"OCR also read spam@asapmedia.co.in; treat that as OCR suspect, use contact@ first."
Direct Employers,India,Byond Studio,Creative studio,team@wearebyond.com,,wearebyond.com,IMG_7877.HEIC,OCR: IMG_7877.txt,High,Hiring within Delhi only.
Direct Employers,India,Celonis,Direct employer / careers link,,,careers.celonis.com/join-us,IMG_7186.HEIC,OCR: IMG_7186.txt,High,Bangalore / India careers link surfaced in the post.
Direct Employers,India,Jaani's Cafe,Hospitality / performance role,jaaniscafe@gmail.com,,,IMG_8711.HEIC,OCR: IMG_8711.txt,High,"Shoja, Himachal Pradesh; paid role with stay and food covered."
