Country / Region	Type	Company / Agency	Company Description	Contact Person	Email Sent To	Email / Contact	Phone / WhatsApp	Role Applied For	Status	Date Email Sent	Date Applied	Follow-up Date	Reply Status	Confidence	Needs Manual Review	Recommended Action	Source	Notes	URLs	Last Gmail Thread ID	Last Gmail Message ID
UAE / Dubai	Direct Employer	2gether	Company career-link lead			https://2gether.global/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8705.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8705.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://2gether.global/careers; 2gether.global/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Abb	Unclassified lead			careers@abb.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8045.HEIC	OCR raw safety-net row from screenshot; verify before outreach. | ELECTRICAL | ENGINEERING | 1. Siemens UAE - careers@siemens.com | 2. ABB Middle East — careers@abb.com | I | | 8 3. Schneider Electric - careers@se.com | i £8			
UAE / Dubai	Direct Employer	Accor Hotels UAE				hrd@accor.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	ADCB				careers@adcb.com			Applied					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Admsuae	Unclassified lead			info@admsuae.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8334.HEIC	OCR raw safety-net row from screenshot; verify before outreach. 20. info@inspireselection.com | | 21. dxbjobs@tascoutsourcing.com | 22. request@tascoutsourcing.com | 23. info@tascoutsourcing.com			
UAE / Dubai	Direct Employer	ADNOC Digital	Company career-link lead			https://adnoc.ae/careers			To Contact					Medium	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8705.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8705.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://adnoc.ae/careers; adnoc.ae/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	AECOM UAE				https://ae-careers.aecom.com/			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Akrs	Unclassified lead			info@akrs.ae			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8334.HEIC	OCR raw safety-net row from screenshot; verify before outreach. 20. info@inspireselection.com | | 21. dxbjobs@tascoutsourcing.com | 22. request@tascoutsourcing.com | 23. info@tascoutsourcing.com			
UAE / Dubai	Direct Employer	Alec	Unclassified lead			careers@alec.ae			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8045.HEIC	OCR raw safety-net row from screenshot; verify before outreach. | ELECTRICAL | ENGINEERING | 1. Siemens UAE - careers@siemens.com | 2. ABB Middle East — careers@abb.com | I | | 8 3. Schneider Electric - careers@se.com | i £8			
UAE / Dubai	Direct Employer	Aljadaalmushriqa	Unclassified lead			hr@aljadaalmushriqa.ae	+971565580898; +971561123978 5		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8700.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Email IDs of MARKETING SECTOR in Dubai == | gmgmedical09@gmail.com | careers@lifepharmafze.com 0 | 1 hr@aljadaalmushriqa.ae F |			
UAE / Dubai	Direct Employer	Almosafer	Company career-link lead			https://almosafer.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8704.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8704.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://almosafer.com/careers; almosafer.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Alnaboodah	Unclassified lead			careers@alnaboodah.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8045.HEIC	OCR raw safety-net row from screenshot; verify before outreach. | ELECTRICAL | ENGINEERING | 1. Siemens UAE - careers@siemens.com | 2. ABB Middle East — careers@abb.com | I | | 8 3. Schneider Electric - careers@se.com | i £8			
UAE / Dubai	Direct Employer	Amazon	Unclassified lead			hirihng@amazon.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8044.HEIC	OCR raw safety-net row from screenshot; verify before outreach. il | | | oes | \ TECH | SOFTWARE | DIGITAL | yr 1. Google UAE - careers@google.com a | 2. Microsoft Gulf — careers@microsoft.com JR			
UAE / Dubai	Direct Employer	Amazon UAE				aws-careers-emea@amazon.com; hiring@amazon.com		Sr Product Designer found outside UAE	To Contact					Low	Yes	Skip unless open to non-UAE	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1		https://www.amazon.jobs/jobs/3173021		
UAE / Dubai	Direct Employer	Asgcgroup	Unclassified lead			hr@asgcgroup.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8045.HEIC	OCR raw safety-net row from screenshot; verify before outreach. | ELECTRICAL | ENGINEERING | 1. Siemens UAE - careers@siemens.com | 2. ABB Middle East — careers@abb.com | I | | 8 3. Schneider Electric - careers@se.com | i £8			
UAE / Dubai	Direct Employer	Asrs	Unclassified lead			info@asrs.ae			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8334.HEIC	OCR raw safety-net row from screenshot; verify before outreach. 20. info@inspireselection.com | | 21. dxbjobs@tascoutsourcing.com | 22. request@tascoutsourcing.com | 23. info@tascoutsourcing.com			
UAE / Dubai	Direct Employer	Aster DM Healthcare				careers@asterhospital.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Bayt	Unclassified lead			hr@bayt.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8044.HEIC	OCR raw safety-net row from screenshot; verify before outreach. il | | | oes | \ TECH | SOFTWARE | DIGITAL | yr 1. Google UAE - careers@google.com a | 2. Microsoft Gulf — careers@microsoft.com JR			
UAE / Dubai	Direct Employer	Bayt.com				hr@bayt.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Beehive	Company career-link lead			https://beehive.ae/careers			To Contact					Medium	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://beehive.ae/careers; beehive.ae/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Careem	Company career-link lead			careers@careem.com; https://jobs.careem.com/		Senior Product Designer; Senior Product Designer - Design System	To Contact					High	Yes	Tailor resume and apply on company site	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Screenshot proposal: proposed-tracker-rows-from-unknown.csv; IMG_8702.HEIC; Raw OCR: IMG_8044.HEIC	Move from Unknown into UAE/GCC direct-employer research queue. | OCR raw safety-net row from screenshot | verify before outreach. il | oes | \ TECH | SOFTWARE | DIGITAL | yr 1. Google UAE - careers@google.com a | 2. Microsoft Gulf — careers@microsoft.com JR	https://tenurecareers.io/jobs/senior-product-designer-careem-dubai; https://designproject.io/jobs/jobs/senior-product-designer-at-careem-ub5m1e; careem.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Carrefour UAE				https://www.carrefouruaecareers.com/			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Cig	Unclassified lead			info@cig.ae			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8334.HEIC	OCR raw safety-net row from screenshot; verify before outreach. 20. info@inspireselection.com | | 21. dxbjobs@tascoutsourcing.com | 22. request@tascoutsourcing.com | 23. info@tascoutsourcing.com			
UAE / Dubai	Direct Employer	Crafty	Company career-link lead			https://craftydelivers.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8702.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8702.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://craftydelivers.com/careers; craftydelivers.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	DAMAC Properties				careers@damacgroup.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Deloitte Middle East				careers@deloitte.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Derbygroup	Unclassified lead			info@derbygroup.ae			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8334.HEIC	OCR raw safety-net row from screenshot; verify before outreach. 20. info@inspireselection.com | | 21. dxbjobs@tascoutsourcing.com | 22. request@tascoutsourcing.com | 23. info@tascoutsourcing.com			
UAE / Dubai	Direct Employer	DEWA				recruitment@dewa.gov.ae			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	DP World				careers@dpworld.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	du Telecom				careers@du.ae			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Dubai Airports				careers@dubaiairports.ae			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Dubai Municipality				careers@dm.gov.ae			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Dubizzle	Company career-link lead			https://dubizzle.com/careers			To Contact					Medium	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://dubizzle.com/careers; dubizzle.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Dutco	Unclassified lead			careers@dutco.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8045.HEIC	OCR raw safety-net row from screenshot; verify before outreach. | ELECTRICAL | ENGINEERING | 1. Siemens UAE - careers@siemens.com | 2. ABB Middle East — careers@abb.com | I | | 8 3. Schneider Electric - careers@se.com | i £8			
UAE / Dubai	Direct Employer	Emaar Properties				careers@emaar.ae; https://www.emaar.com/en/careers			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
