proposed_tab,country_or_region,lead_name,category,email,phone,website_or_domain,source_screenshot,verification_source,confidence,notes
Agencies,UAE / Dubai or GCC,Inspireselection,Recruitment agency / staffing contact,info@inspireselection.com,,inspireselection.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Tascoutsourcing,Recruitment agency / staffing contact,dxbjobs@tascoutsourcing.com,,tascoutsourcing.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",High,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Tascoutsourcing,Recruitment agency / staffing contact,request@tascoutsourcing.com,,tascoutsourcing.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Tascoutsourcing,Recruitment agency / staffing contact,info@tascoutsourcing.com,,tascoutsourcing.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Alnahiya,Recruitment agency / staffing contact,enquiries@alnahiya.com,,alnahiya.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Admsuae,Recruitment agency / staffing contact,info@admsuae.com,,admsuae.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Asrs,Recruitment agency / staffing contact,info@asrs.ae,,asrs.ae,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",High,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Rawafed,Recruitment agency / staffing contact,careers@rawafed.ae,,rawafed.ae,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",High,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Hays,Recruitment agency / staffing contact,clientmiddleeast@hays.com,,hays.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",High,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Randstad,Recruitment agency / staffing contact,corporate.communications@randstad.com,,randstad.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Akrs,Recruitment agency / staffing contact,info@akrs.ae,,akrs.ae,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",High,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Almansoorgroup,Recruitment agency / staffing contact,info@almansoorgroup.com,,almansoorgroup.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Emirates Net,Recruitment agency / staffing contact,mansoor@emirates.net.ae,,emirates.net.ae,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",High,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Jvi Global,Recruitment agency / staffing contact,employers@jvi-global.com,,jvi-global.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Executivesolutionsme,Recruitment agency / staffing contact,info@executivesolutionsme.com,,executivesolutionsme.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Al Thawiya,Recruitment agency / staffing contact,enquiry@al-thawiya.com,,al-thawiya.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Ssaltd,Recruitment agency / staffing contact,ilan.mclean@ssaltd.com,,ssaltd.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Expertsrecruitment,Recruitment agency / staffing contact,gaile@expertsrecruitment.com,,expertsrecruitment.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Spark,Recruitment agency / staffing contact,sparkmos@spark.ae,,spark.ae,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",High,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Talascend,Recruitment agency / staffing contact,talascend.marketing@talascend.com,,talascend.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Antal,Recruitment agency / staffing contact,info@antal.com,,antal.com,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",Medium,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Derbygroup,Recruitment agency / staffing contact,info@derbygroup.ae,,derbygroup.ae,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",High,Move from Unknown into UAE/Dubai agency review queue.
Agencies,UAE / Dubai or GCC,Cig,Recruitment agency / staffing contact,info@cig.ae,,cig.ae,IMG_8334.HEIC,"OCR agency-list screenshot; many .ae, dxb, middleeast, and UAE staffing domains. Verify before outreach.",High,Move from Unknown into UAE/Dubai agency review queue.
